gene_id	gene_name	start	end	strand
ENSG00000274391.5	TPTE	10521553	10606140	+
ENSG00000166351.11	POTED	13609777	13645823	+
ENSG00000188992.12	LIPI	14108813	14210955	-
ENSG00000185272.14	RBM11	14216130	14228372	+
ENSG00000155304.6	HSPA13	14371115	14383484	-
ENSG00000155307.19	SAMSN1	14485228	14658821	-
ENSG00000180530.11	NRIP1	14961235	15065936	-
ENSG00000155313.16	USP25	15729982	15880064	+
ENSG00000154639.19	CXADR	17513043	17593579	+
ENSG00000154640.15	BTG3	17593653	17612945	-
ENSG00000154642.11	C21orf91	17788974	17819386	-
ENSG00000154645.14	CHODL	17901263	18267373	+
ENSG00000154646.9	TMPRSS15	18269116	18485879	-
ENSG00000154654.15	NCAM2	20998409	21543329	+
ENSG00000154719.14	MRPL39	25585656	25607517	-
ENSG00000154721.15	JAM2	25639258	25717562	+
ENSG00000154723.13	ATP5PF	25716503	25735673	-
ENSG00000154727.11	GABPA	25734570	25772460	+
ENSG00000142192.22	APP	25880535	26171128	-
ENSG00000166265.13	CYYR1	26466209	26573286	-
ENSG00000154734.16	ADAMTS1	26835755	26845409	-
ENSG00000154736.6	ADAMTS5	26917922	26967088	-
ENSG00000156239.12	N6AMT1	28872191	28885371	-
ENSG00000198862.14	LTN1	28928144	28992956	-
ENSG00000156253.7	RWDD2B	29004384	29019360	-
ENSG00000156256.15	USP16	29024629	29054488	+
ENSG00000156261.13	CCT8	29055805	29073797	-
ENSG00000156265.17	MAP3K7CL	29077221	29175889	+
ENSG00000156273.16	BACH1	29194071	29630751	+
ENSG00000171189.18	GRIK1	29536933	29940033	-
ENSG00000156282.5	CLDN17	30165565	30166805	-
ENSG00000156284.6	CLDN8	30214006	30216097	-
ENSG00000188694.6	KRTAP24-1	30281309	30282950	-
ENSG00000232263.1	KRTAP25-1	30289145	30289514	-
ENSG00000197683.5	KRTAP26-1	30319124	30320315	-
ENSG00000206107.2	KRTAP27-1	30337013	30337694	-
ENSG00000186980.7	KRTAP23-1	30348399	30348606	-
ENSG00000182816.9	KRTAP13-2	30371390	30372271	-
ENSG00000198390.5	KRTAP13-1	30396031	30396822	+
ENSG00000240432.4	KRTAP13-3	30425380	30425926	-
ENSG00000186971.4	KRTAP13-4	30430220	30431026	+
ENSG00000186970.5	KRTAP15-1	30440275	30440869	+
ENSG00000184351.8	KRTAP19-1	30479706	30480367	-
ENSG00000186965.5	KRTAP19-2	30487043	30487436	-
ENSG00000244025.5	KRTAP19-3	30491462	30492013	-
ENSG00000186967.7	KRTAP19-4	30496824	30497165	-
ENSG00000186977.3	KRTAP19-5	30501657	30502141	-
ENSG00000186925.6	KRTAP19-6	30541535	30541864	-
ENSG00000244362.3	KRTAP19-7	30560875	30561314	-
ENSG00000206106.2	KRTAP22-2	30590105	30590397	-
ENSG00000212938.3	KRTAP6-3	30592440	30593075	+
ENSG00000186930.4	KRTAP6-2	30598590	30598902	-
ENSG00000186924.3	KRTAP22-1	30601087	30601382	+
ENSG00000184724.5	KRTAP6-1	30613431	30613930	-
ENSG00000244624.3	KRTAP20-1	30616425	30616699	+
ENSG00000206105.2	KRTAP20-4	30620627	30620850	+
ENSG00000184032.3	KRTAP20-2	30635206	30635619	+
ENSG00000206104.2	KRTAP20-3	30642864	30643136	+
ENSG00000231068.1	KRTAP21-3	30718525	30718777	-
ENSG00000187026.3	KRTAP21-2	30746794	30747259	-
ENSG00000187005.5	KRTAP21-1	30755015	30755428	-
ENSG00000183640.6	KRTAP8-1	30812697	30813274	-
ENSG00000274749.1	KRTAP7-1	30829039	30829759	-
ENSG00000182591.6	KRTAP11-1	30880644	30881580	-
ENSG00000206102.2	KRTAP19-8	31038159	31038476	-
ENSG00000156299.15	TIAM1	31118416	31559977	-
ENSG00000142168.15	SOD1	31659666	31668931	+
ENSG00000156304.15	SCAF4	31671000	31732118	-
ENSG00000142149.9	HUNK	31873020	32044633	+
ENSG00000159055.4	MIS18A	32268228	32279049	-
ENSG00000170262.13	MRAP	32291813	32314784	+
ENSG00000142207.7	URB1	32311018	32393012	-
ENSG00000265590.10	CFAP298-TCP10L	32402511	32612865	-
ENSG00000166979.13	EVA1C	32412006	32515397	+
ENSG00000242220.9	TCP10L	32497967	32587373	-
ENSG00000159079.19	CFAP298	32592079	32612603	-
ENSG00000159082.18	SYNJ1	32628759	32728040	-
ENSG00000159086.15	PAXBP1	32733899	32771792	-
ENSG00000205929.11	C21orf62	32790673	32813743	-
ENSG00000205927.5	OLIG2	33025935	33029196	+
ENSG00000184221.13	OLIG1	33070141	33072413	+
ENSG00000159110.22	IFNAR2	33205282	33265675	+
ENSG00000249624.10	IFNAR2-IL10RB	33229892	33297160	+
ENSG00000243646.11	IL10RB	33266367	33311420	+
ENSG00000142166.15	IFNAR1	33324387	33359864	+
ENSG00000159128.16	IFNGR2	33403413	33479348	+
ENSG00000142188.17	TMEM50B	33432485	33479974	-
ENSG00000177692.13	DNAJC28	33488055	33491716	-
ENSG00000159131.17	GART	33503931	33543491	-
ENSG00000159140.23	SON	33543038	33577481	+
ENSG00000159147.18	DONSON	33559542	33588706	-
ENSG00000249209.2	ENSG00000249209	33584687	33931607	-
ENSG00000205758.12	CRYZL1	33589341	33643926	-
ENSG00000205726.15	ITSN1	33642400	33899861	+
ENSG00000241837.7	ATP5PO	33903453	33915814	-
ENSG00000243927.6	MRPS6	34073224	34143034	+
ENSG00000198743.7	SLC5A3	34073578	34106260	+
ENSG00000159197.4	KCNE2	34364006	34371381	+
ENSG00000205670.12	SMIM11	34375480	34416961	+
ENSG00000222018.2	C21orf140	34400112	34401072	-
ENSG00000243627.5	SMIM34	34418715	34423951	-
ENSG00000180509.13	KCNE1	34446688	34512214	-
ENSG00000288711.1	ENSG00000288711	34511122	34614913	-
ENSG00000159200.18	RCAN1	34513142	34615113	-
