gene_id	gene_name	start	end	strand
ENSG00000120645.12	IQSEC3	66767	178455	+
ENSG00000111181.13	SLC6A12	190077	214570	-
ENSG00000010379.16	SLC6A13	220621	262873	-
ENSG00000073614.13	KDM5A	280057	389320	-
ENSG00000120647.10	CCDC77	389273	442642	+
ENSG00000139044.12	B4GALNT3	459939	563509	+
ENSG00000171840.13	NINJ2	564296	663589	-
ENSG00000060237.19	WNK1	752579	911452	+
ENSG00000002016.18	RAD52	911736	990053	-
ENSG00000082805.21	ERC1	990509	1495933	+
ENSG00000111186.13	WNT5B	1529891	1647212	+
ENSG00000171823.7	FBXL14	1565993	1594581	-
ENSG00000006831.10	ADIPOR2	1688574	1788674	+
ENSG00000151062.15	CACNA2D4	1791963	1918666	-
ENSG00000166159.11	LRTM2	1820267	1836753	+
ENSG00000151065.14	DCP1B	1946053	2004535	-
ENSG00000151067.23	CACNA1C	1970772	2697950	+
ENSG00000004478.8	FKBP4	2794970	2805423	+
ENSG00000111203.13	ITFG2	2812622	2859791	+
ENSG00000053702.15	NRIP2	2825348	2835544	-
ENSG00000283297.2	TEX52	2849046	2857039	-
ENSG00000111206.13	FOXM1	2857680	2877174	-
ENSG00000171792.11	RHNO1	2876258	2889524	+
ENSG00000078246.17	TULP3	2877223	2941138	+
ENSG00000197905.10	TEAD4	2959330	3040676	+
ENSG00000011105.14	TSPAN9	3077355	3286564	+
ENSG00000111218.12	PRMT8	3381349	3593973	+
ENSG00000130038.10	CRACR2A	3606633	3764819	-
ENSG00000111224.14	PARP11	3791047	3873448	-
ENSG00000118971.9	CCND2	4269771	4305353	+
ENSG00000285901.2	ENSG00000285901	4273762	4405490	+
ENSG00000078237.7	TIGAR	4307763	4360028	+
ENSG00000118972.3	FGF23	4368227	4379712	-
ENSG00000111241.3	FGF6	4428155	4445815	-
ENSG00000047621.12	C12orf4	4487735	4538508	-
ENSG00000111247.15	RAD51AP1	4538798	4560047	+
ENSG00000010219.14	DYRK4	4562208	4615302	+
ENSG00000272921.1	ENSG00000272921	4604944	4662643	+
ENSG00000111254.8	AKAP3	4615508	4649051	-
ENSG00000139180.11	NDUFA9	4649095	4694317	+
ENSG00000255639.3	ENSG00000255639	4649101	4774184	+
ENSG00000130035.9	GALNT8	4720400	4851927	+
ENSG00000151079.8	KCNA6	4809334	4813318	+
ENSG00000111262.6	KCNA1	4909905	4918256	+
ENSG00000130037.5	KCNA5	5043879	5046788	+
ENSG00000185652.12	NTF3	5432108	5521536	+
ENSG00000047617.18	ANO2	5531869	5946232	-
ENSG00000110799.14	VWF	5948877	6124770	-
ENSG00000010278.15	CD9	6199715	6238271	+
ENSG00000008323.16	PLEKHG6	6310436	6328506	+
ENSG00000067182.9	TNFRSF1A	6328757	6342114	-
ENSG00000111319.13	SCNN1A	6346843	6377730	-
ENSG00000111321.11	LTBR	6375045	6391571	+
ENSG00000139193.4	CD27	6444955	6451718	+
ENSG00000139192.12	TAPBPL	6451690	6466517	+
ENSG00000139190.17	VAMP1	6462237	6470677	-
ENSG00000111639.8	MRPL51	6491886	6493841	-
ENSG00000010292.13	NCAPD2	6493356	6531955	+
ENSG00000111640.15	GAPDH	6534512	6538374	+
ENSG00000010295.20	IFFO1	6538961	6556073	-
ENSG00000111641.13	NOP2	6556863	6568691	-
ENSG00000285238.2	ENSG00000285238	6556886	6607367	-
ENSG00000111642.16	CHD4	6570082	6614524	-
ENSG00000184574.10	LPAR5	6618835	6635960	-
ENSG00000111644.8	ACRBP	6638075	6647433	-
ENSG00000111653.20	ING4	6650301	6663142	-
ENSG00000126746.19	ZNF384	6666477	6689572	-
ENSG00000139200.14	PIANP	6693791	6700815	-
ENSG00000111652.10	COPS7A	6724014	6731875	+
ENSG00000089693.11	MLF2	6747996	6767475	-
ENSG00000159335.19	PTMS	6765516	6770952	+
ENSG00000089692.9	LAG3	6772512	6778455	+
ENSG00000010610.10	CD4	6786858	6820799	+
ENSG00000250510.8	GPR162	6821624	6829972	+
ENSG00000110811.20	P3H3	6828407	6839847	+
ENSG00000111664.11	GNB3	6839954	6847393	+
ENSG00000111665.12	CDCA3	6844793	6851292	-
ENSG00000111667.14	USP5	6852148	6866632	+
ENSG00000111669.15	TPI1	6867119	6870948	+
ENSG00000111671.10	SPSB2	6870935	6889358	-
ENSG00000010626.15	LRRC23	6873569	6914241	+
ENSG00000111674.9	ENO2	6913745	6923698	+
ENSG00000111676.15	ATN1	6924463	6942321	+
ENSG00000111678.11	C12orf57	6942978	6946003	+
ENSG00000111679.17	PTPN6	6946468	6961316	+
ENSG00000215021.10	PHB2	6965327	6970780	-
ENSG00000126749.17	EMG1	6970913	6979936	+
ENSG00000290146.1	ENSG00000290146	6970921	6997428	+
ENSG00000111684.11	LPCAT3	6976185	7018477	-
ENSG00000182326.17	C1S	6988259	7071032	+
ENSG00000159403.18	C1R	7080214	7092540	-
ENSG00000139178.12	C1RL	7089587	7109238	-
ENSG00000139194.8	RBP5	7115736	7128889	-
ENSG00000139182.15	CLSTN3	7129698	7158945	+
ENSG00000139197.11	PEX5	7188685	7218574	+
ENSG00000215009.6	ACSM4	7304072	7328719	+
ENSG00000177675.9	CD163L1	7346685	7479897	-
ENSG00000177575.13	CD163	7470811	7503893	-
ENSG00000111701.7	APOBEC1	7649400	7665908	-
ENSG00000184344.4	GDF3	7689784	7695775	-
ENSG00000187569.3	DPPA3	7711433	7717559	+
ENSG00000198178.11	CLEC4C	7729383	7751605	-
ENSG00000205857.2	NANOGNB	7765216	7774121	+
ENSG00000111704.11	NANOG	7787794	7799146	+
ENSG00000173262.12	SLC2A14	7812512	7891148	-
ENSG00000059804.17	SLC2A3	7919230	8019007	-
ENSG00000065970.9	FOXJ2	8032716	8055517	+
ENSG00000171860.5	C3AR1	8056844	8066359	-
ENSG00000089818.18	NECAP1	8076939	8097881	+
ENSG00000111729.15	CLEC4A	8123617	8138607	+
ENSG00000284393.1	ENSG00000284393	8138140	8175320	+
ENSG00000196946.11	ZNF705A	8157015	8188537	+
ENSG00000171847.11	FAM90A1	8221260	8227618	-
ENSG00000205846.4	CLEC6A	8455962	8478330	+
ENSG00000166527.8	CLEC4D	8509475	8522366	+
ENSG00000166523.8	CLEC4E	8533305	8540905	-
ENSG00000111732.12	AICDA	8602155	8613242	-
ENSG00000197614.11	MFAP5	8637346	8662888	-
ENSG00000166532.16	RIMKLB	8681600	8783095	+
ENSG00000166535.20	A2ML1	8822621	8887001	+
ENSG00000111752.11	PHC1	8913896	8941467	+
ENSG00000003056.8	M6PR	8940361	8949761	-
ENSG00000139187.10	KLRG1	8950044	9010760	+
ENSG00000175899.15	A2M	9067664	9116229	-
ENSG00000126838.10	PZP	9148840	9208395	-
ENSG00000111796.4	KLRB1	9594551	9607916	-
ENSG00000069493.15	CLEC2D	9664969	9699553	+
ENSG00000110848.8	CD69	9752486	9760901	-
ENSG00000150045.12	KLRF1	9827481	9845007	+
ENSG00000110852.5	CLEC2B	9852369	9869386	-
ENSG00000256797.1	KLRF2	9881489	9895833	+
ENSG00000188393.9	CLEC2A	9898673	9932370	-
ENSG00000172322.14	CLEC12A	9951316	9995694	+
ENSG00000165682.15	CLEC1B	9985642	10013424	-
ENSG00000256660.7	CLEC12B	10010627	10018796	+
ENSG00000197992.7	CLEC9A	10030678	10066031	+
ENSG00000150048.10	CLEC1A	10069554	10111627	-
ENSG00000172243.18	CLEC7A	10116777	10130258	-
ENSG00000173391.9	OLR1	10158301	10172138	-
ENSG00000165685.9	TMEM52B	10170542	10191804	+
ENSG00000139112.11	GABARAPL1	10212458	10223128	+
ENSG00000134539.17	KLRD1	10226058	10329608	+
ENSG00000213809.9	KLRK1	10372353	10391874	-
ENSG00000255819.7	KLRC4-KLRK1	10372353	10410146	-
ENSG00000183542.6	KLRC4	10407384	10409757	-
ENSG00000255641.1	ENSG00000255641	10412312	10436001	-
ENSG00000205810.9	KLRC3	10412315	10420595	-
ENSG00000205809.11	KLRC2	10426854	10442300	-
ENSG00000134545.14	KLRC1	10442264	10454685	-
ENSG00000180574.4	EIF2S3B	10505602	10523135	+
ENSG00000111196.10	MAGOHB	10604193	10613609	-
ENSG00000060140.9	STYK1	10618923	10674318	-
ENSG00000060138.13	YBX3	10699089	10723323	-
ENSG00000121377.2	TAS2R7	10801532	10802627	-
ENSG00000121314.3	TAS2R8	10806051	10807286	-
ENSG00000121381.4	TAS2R9	10809094	10810168	-
ENSG00000231887.9	PRH1	10824960	11171608	-
ENSG00000121318.3	TAS2R10	10825219	10826358	-
ENSG00000111215.12	PRR4	10845849	10849475	-
ENSG00000275778.3	ENSG00000275778	10845849	11171600	-
ENSG00000212128.2	TAS2R13	10907926	10909562	-
ENSG00000134551.13	PRH2	10929236	10934845	+
ENSG00000212127.6	TAS2R14	10937408	11171573	-
ENSG00000212126.3	TAS2R50	10985913	10986912	-
ENSG00000255837.2	TAS2R20	10995961	10998304	-
ENSG00000212124.2	TAS2R19	11021619	11022620	-
ENSG00000256436.1	TAS2R31	11030387	11031407	-
ENSG00000226761.3	TAS2R46	11061365	11062294	-
ENSG00000255374.3	TAS2R43	11091287	11092313	-
ENSG00000256188.3	TAS2R30	11132958	11134644	-
ENSG00000256537.5	SMIM10L1	11171194	11176016	+
ENSG00000186136.1	TAS2R42	11185993	11186937	-
ENSG00000197870.14	PRB3	11265914	11269707	-
ENSG00000230657.8	PRB4	11307077	11310436	-
ENSG00000251655.7	PRB1	11351823	11355591	-
ENSG00000121335.12	PRB2	11391540	11501041	-
ENSG00000139083.11	ETV6	11649674	11895377	+
