gene_id	gene_name	start	end	strand
ENSG00000130538.6	OR11H1	15528192	15529139	+
ENSG00000198062.16	POTEH	15690026	15721631	+
ENSG00000198445.4	CCT8L2	16590751	16592810	-
ENSG00000172967.8	XKR3	16783412	16825411	-
ENSG00000215568.9	GAB4	16961936	17008222	-
ENSG00000177663.15	IL17RA	17084954	17115693	+
ENSG00000183307.4	TMEM121B	17116297	17121367	-
ENSG00000069998.12	HDHD5	17137511	17165287	-
ENSG00000093072.19	ADA2	17178790	17258235	-
ENSG00000099954.19	CECR2	17359949	17558151	+
ENSG00000182902.14	SLC25A18	17563450	17590995	+
ENSG00000131100.13	ATP6V1E1	17592136	17628749	-
ENSG00000099968.18	BCL2L13	17628855	17730855	+
ENSG00000015475.19	BID	17734138	17774770	-
ENSG00000243156.9	MICAL3	17787649	18024561	-
ENSG00000215193.14	PEX26	18077923	18105396	+
ENSG00000288683.1	ENSG00000288683	18077989	18131720	+
ENSG00000183785.16	TUBA8	18110100	18146683	+
ENSG00000184979.12	USP18	18149843	18177397	+
ENSG00000274252.1	GGTLC3	18516344	18518161	-
ENSG00000278558.6	TMEM191B	18527802	18530573	+
ENSG00000275793.1	RIMBP3	18605815	18611919	-
ENSG00000286175.1	FAM246B	18633984	18634682	+
ENSG00000183628.14	DGCR6	18906028	18914238	+
ENSG00000283809.1	ENSG00000283809	18906238	18947732	+
ENSG00000100033.17	PRODH	18912777	18936553	-
ENSG00000286025.2	FAM246C	19029524	19031242	+
ENSG00000070413.21	DGCR2	19036282	19122454	-
ENSG00000100056.12	ESS2	19130279	19144684	-
ENSG00000206203.5	TSSK2	19131308	19132622	+
ENSG00000063515.3	GSC2	19146993	19150292	-
ENSG00000100075.10	SLC25A1	19175581	19178739	-
ENSG00000070371.16	CLTCL1	19179473	19291719	-
ENSG00000100084.14	HIRA	19330698	19447450	-
ENSG00000242259.9	C22orf39	19351368	19447711	-
ENSG00000185608.9	MRPL40	19432545	19436075	+
ENSG00000070010.19	UFD1	19449911	19479202	-
ENSG00000093009.11	CDC45	19479457	19520612	+
ENSG00000184113.10	CLDN5	19523024	19527545	-
ENSG00000184702.20	SEPTIN5	19714503	19724224	+
ENSG00000284874.1	ENSG00000284874	19717220	19724772	+
ENSG00000203618.6	GP1BB	19723539	19724771	+
ENSG00000184058.16	TBX1	19756703	19783593	+
ENSG00000185838.14	GNB1L	19783223	19854939	-
ENSG00000215012.9	RTL10	19846138	19854896	-
ENSG00000184470.21	TXNRD2	19875517	19941820	-
ENSG00000093010.15	COMT	19941371	19969975	+
ENSG00000099889.14	ARVCF	19969896	20016823	-
ENSG00000183597.16	TANGO2	20017014	20067164	+
ENSG00000128191.17	DGCR8	20080221	20111877	+
ENSG00000099899.16	TRMT2A	20111875	20117392	-
ENSG00000099901.18	RANBP1	20115938	20127355	+
ENSG00000099904.16	ZDHHC8	20129456	20148007	+
ENSG00000234409.7	CCDC188	20148416	20151055	-
ENSG00000040608.14	RTN4R	20241415	20283246	-
ENSG00000128185.10	DGCR6L	20314238	20320080	-
ENSG00000185252.19	ZNF74	20394115	20408461	+
ENSG00000244486.9	SCARF2	20424584	20437826	-
ENSG00000277971.1	ENSG00000277971	20429241	20446620	-
