gene_id	gene_name	start	end	strand
ENSG00000181404.18	WASHC1	14475	73865	-
ENSG00000170122.6	FOXD4	116231	118417	-
ENSG00000172785.19	ZNG1A	120837	179147	-
ENSG00000107099.18	DOCK8	214854	465259	+
ENSG00000107104.21	KANK1	470291	746105	+
ENSG00000137090.12	DMRT1	841690	969090	+
ENSG00000064218.5	DMRT3	976655	991732	+
ENSG00000173253.16	DMRT2	1049858	1057552	+
ENSG00000080503.25	SMARCA2	1980290	2193624	+
ENSG00000147852.17	VLDLR	2621182	2660056	+
ENSG00000168263.9	KCNV2	2717510	2730037	+
ENSG00000080608.10	PUM3	2720469	2844095	-
ENSG00000080298.16	RFX3	3218297	3526004	-
ENSG00000107249.24	GLIS3	3824127	4348392	-
ENSG00000106688.12	SLC1A1	4490468	4587469	+
ENSG00000106686.18	SPATA6L	4553386	4666674	-
ENSG00000205808.7	PLPP6	4662294	4665258	+
ENSG00000106993.12	CDC37L1	4679559	4708399	+
ENSG00000147853.17	AK3	4709556	4742043	-
ENSG00000120158.12	RCL1	4792944	4885917	+
ENSG00000096968.14	JAK2	4984390	5129948	+
ENSG00000120210.8	INSL6	5123880	5185647	-
ENSG00000120211.4	INSL4	5231419	5235304	+
ENSG00000107014.9	RLN2	5299864	5304716	-
ENSG00000107018.8	RLN1	5334930	5339876	-
ENSG00000107020.10	PLGRKT	5357971	5437925	-
ENSG00000120217.14	CD274	5450503	5470566	+
ENSG00000197646.8	PDCD1LG2	5510531	5571282	+
ENSG00000107036.12	RIC1	5629025	5776557	+
ENSG00000099219.15	ERMP1	5749832	5879537	-
ENSG00000183354.12	BRD10	5881596	6008482	-
ENSG00000120215.10	MLANA	5890889	5910606	+
ENSG00000137040.10	RANBP6	6011025	6015625	-
ENSG00000137033.12	IL33	6215786	6257983	+
ENSG00000170777.11	TPD52L3	6328375	6331891	+
ENSG00000147854.17	UHRF2	6413151	6507054	+
ENSG00000178445.10	GLDC	6532467	6645729	-
ENSG00000107077.21	KDM4C	6720863	7175648	+
ENSG00000137038.8	DMAC1	7796500	7888380	-
ENSG00000153707.19	PTPRD	8314246	10613002	-
ENSG00000107165.13	TYRP1	12685439	12710285	+
ENSG00000153714.6	LURAP1L	12775020	12823060	+
ENSG00000107186.17	MPDZ	13105706	13279692	-
ENSG00000147862.18	NFIB	14081843	14398983	-
ENSG00000175893.12	ZDHHC21	14611071	14693432	-
ENSG00000147869.5	CER1	14719724	14722733	-
ENSG00000164946.20	FREM1	14737152	14910995	-
ENSG00000155158.20	TTC39B	15163622	15307360	-
ENSG00000164975.16	SNAPC3	15422734	15465953	+
ENSG00000164985.15	PSIP1	15464066	15510995	-
ENSG00000164989.17	CCDC171	15553043	16061663	+
ENSG00000173068.19	BNC2	16409503	16870843	-
ENSG00000044459.15	CNTLN	17134982	17503923	+
ENSG00000107295.10	SH3GL2	17579066	17797124	+
ENSG00000178031.18	ADAMTSL1	17906563	18910950	+
ENSG00000155875.15	SAXO1	18858906	19049358	-
ENSG00000155876.6	RRAGA	19049427	19051025	+
ENSG00000147874.11	HAUS6	19053141	19102904	-
ENSG00000147872.10	PLIN2	19108375	19149290	-
ENSG00000137145.21	DENND4C	19230435	19374281	+
ENSG00000137154.13	RPS6	19375715	19380236	-
ENSG00000177076.6	ACER2	19409009	19452505	+
ENSG00000155886.12	SLC24A2	19507452	19789037	-
ENSG00000171843.17	MLLT3	20341669	20622499	-
ENSG00000188352.13	FOCAD	20658309	20995955	+
ENSG00000188921.14	HACD4	20999509	21031640	-
ENSG00000171855.7	IFNB1	21077104	21077942	-
ENSG00000177047.7	IFNW1	21140632	21141832	-
ENSG00000137080.4	IFNA21	21165637	21166660	-
ENSG00000236637.5	IFNA4	21186618	21187587	-
ENSG00000214042.1	IFNA7	21201469	21202205	-
ENSG00000186803.3	IFNA10	21206181	21207143	-
ENSG00000147885.4	IFNA16	21216373	21217311	-
ENSG00000234829.4	IFNA17	21227243	21228222	-
ENSG00000228083.3	IFNA14	21239002	21240005	-
ENSG00000147873.6	IFNA5	21304326	21305313	-
ENSG00000198642.7	KLHL9	21329665	21335404	-
ENSG00000120235.5	IFNA6	21350253	21350956	-
ENSG00000233816.4	IFNA13	21367372	21368057	-
ENSG00000188379.7	IFNA2	21384255	21385398	-
ENSG00000120242.4	IFNA8	21409117	21410185	+
ENSG00000197919.6	IFNA1	21440439	21441316	+
ENSG00000184995.7	IFNE	21480839	21482313	-
ENSG00000099810.21	MTAP	21802636	21937651	+
ENSG00000147889.18	CDKN2A	21967752	21995301	-
ENSG00000147883.12	CDKN2B	22002903	22009305	-
ENSG00000176399.4	DMRTA1	22446824	22455740	+
ENSG00000107105.15	ELAVL2	23690104	23826337	-
ENSG00000205442.13	IZUMO3	24542952	24545946	-
ENSG00000198680.6	TUSC1	25676969	25678444	-
ENSG00000120159.13	CAAP1	26840685	26892803	-
ENSG00000137055.15	PLAA	26903372	26947242	-
ENSG00000096872.17	IFT74	26947039	27066134	+
ENSG00000184434.8	LRRC19	26993136	27005672	-
ENSG00000120156.22	TEK	27109141	27230174	+
ENSG00000120160.11	EQTN	27284654	27297150	-
ENSG00000120162.10	MOB3B	27325209	27529814	-
ENSG00000147896.4	IFNK	27524290	27526498	+
ENSG00000147894.17	C9orf72	27535640	27573866	-
ENSG00000174482.11	LINGO2	27937617	29213601	-
ENSG00000122729.19	ACO1	32384603	32454769	+
ENSG00000107201.12	RIGI	32455302	32526348	-
ENSG00000288684.1	ENSG00000288684	32455323	32552603	-
ENSG00000197579.8	TOPORS	32540544	32552586	-
ENSG00000235453.12	SMIM27	32551144	32568621	+
