gene_id	gene_name	start	end	strand
ENSG00000177951.18	BET1L	167784	207399	-
ENSG00000188076.3	SCGB1C1	193078	194575	+
ENSG00000177947.15	CIMAP1A	196761	200261	+
ENSG00000177963.15	RIC8A	207708	215113	+
ENSG00000142082.15	SIRT3	215030	236931	-
ENSG00000185627.19	PSMD13	236966	252984	+
ENSG00000174885.13	NLRP6	278407	285388	+
ENSG00000142102.16	PGGHG	289126	296107	+
ENSG00000206013.2	IFITM5	298200	299526	-
ENSG00000185201.18	IFITM2	303655	309397	+
ENSG00000288681.1	ENSG00000288681	308408	315272	+
ENSG00000185885.17	IFITM1	310041	315272	+
ENSG00000142089.17	IFITM3	319676	329475	-
ENSG00000182272.12	B4GALNT4	369499	382117	+
ENSG00000184363.10	PKP3	392614	404908	+
ENSG00000185187.14	SIGIRR	405715	417455	-
ENSG00000185101.13	ANO9	417933	442011	-
ENSG00000174915.12	PTDSS2	448268	491399	+
ENSG00000023191.17	RNH1	494512	507300	-
ENSG00000174775.18	HRAS	532242	537321	-
ENSG00000161328.11	LRRC56	537527	554912	+
ENSG00000185522.9	LMNTD2	554850	560738	-
ENSG00000099849.15	RASSF7	560404	564025	+
ENSG00000070047.13	PHRF1	576470	612222	+
ENSG00000185507.21	IRF7	612553	615983	-
ENSG00000099834.19	CDHR5	616577	626078	-
ENSG00000070031.4	SCT	626309	627181	-
ENSG00000069696.7	DRD4	637269	640706	+
ENSG00000177030.19	DEAF1	644233	707118	-
ENSG00000177106.17	EPS8L2	694438	727727	+
ENSG00000177042.16	TMEM80	695591	705028	+
ENSG00000177156.11	TALDO1	747415	765012	+
ENSG00000177225.17	GATD1	767220	777488	-
ENSG00000184524.6	CEND1	787115	790113	-
ENSG00000177542.11	SLC25A22	790475	798281	-
ENSG00000288675.1	PANO1	797511	799190	+
ENSG00000177595.19	PIDD1	799179	809753	-
ENSG00000177600.9	RPLP2	809965	812880	+
ENSG00000177666.17	PNPLA2	818914	825573	+
ENSG00000177685.17	CRACR2B	826144	831991	+
ENSG00000177697.19	CD151	832887	839831	+
ENSG00000177700.6	POLR2L	837356	842529	-
ENSG00000214063.12	TSPAN4	842812	867116	+
ENSG00000177830.18	CHID1	867859	915058	-
ENSG00000183020.15	AP2A2	924881	1012245	+
ENSG00000184956.16	MUC6	1012823	1036718	-
ENSG00000198788.9	MUC2	1074875	1110511	+
ENSG00000215182.8	MUC5AC	1157953	1201138	+
ENSG00000117983.17	MUC5B	1223066	1262172	+
ENSG00000078902.16	TOLLIP	1274371	1309654	-
ENSG00000174672.16	BRSK2	1389899	1462689	+
ENSG00000182208.15	MOB2	1469457	1501247	-
ENSG00000184545.11	DUSP8	1554051	1572271	-
ENSG00000205869.2	KRTAP5-1	1584342	1585283	-
ENSG00000205867.3	KRTAP5-2	1597177	1598294	-
ENSG00000196224.7	KRTAP5-3	1607565	1608463	-
ENSG00000241598.6	KRTAP5-4	1620958	1622138	-
ENSG00000185940.11	KRTAP5-5	1629775	1630930	+
ENSG00000205864.1	KRTAP5-6	1697195	1697755	+
ENSG00000244242.2	IFITM10	1732406	1750595	-
ENSG00000250644.3	ENSG00000250644	1734821	1763954	-
ENSG00000117984.15	CTSD	1752752	1764573	-
ENSG00000149043.17	SYT8	1828307	1837521	+
ENSG00000130598.17	TNNI2	1838981	1841680	+
ENSG00000130592.17	LSP1	1850904	1892267	+
ENSG00000283787.2	PRR33	1888078	1891895	-
ENSG00000130595.20	TNNT3	1919703	1938706	+
ENSG00000214026.11	MRPL23	1947278	1984522	+
ENSG00000167244.22	IGF2	2129112	2158391	-
ENSG00000284779.3	ENSG00000284779	2131395	2149603	-
ENSG00000129965.15	INS-IGF2	2132538	2161209	-
ENSG00000254647.7	INS	2159779	2161221	-
ENSG00000180176.15	TH	2163929	2171815	-
ENSG00000183734.5	ASCL2	2268498	2270588	-
ENSG00000110665.12	C11orf21	2295628	2303049	-
ENSG00000064201.16	TSPAN32	2301997	2318204	+
ENSG00000110651.13	CD81	2376177	2397802	+
ENSG00000184281.15	TSSC4	2400488	2403878	+
ENSG00000070985.14	TRPM5	2404515	2444514	-
ENSG00000053918.20	KCNQ1	2444654	2849105	+
ENSG00000129757.15	CDKN1C	2883213	2885775	-
ENSG00000110628.16	SLC22A18	2899721	2925246	+
ENSG00000181649.8	PHLDA2	2928273	2929420	-
ENSG00000205531.14	NAP1L4	2944431	2992377	-
ENSG00000110619.18	CARS1	3000922	3057613	-
ENSG00000021762.20	OSBPL5	3087107	3166739	-
ENSG00000182170.3	MRGPRG	3217944	3218813	-
ENSG00000184350.11	MRGPRE	3225030	3232417	-
ENSG00000005801.18	ZNF195	3339261	3379222	-
ENSG00000167311.14	ART5	3638512	3642316	-
ENSG00000129744.3	ART1	3645128	3664416	+
ENSG00000129749.3	CHRNA10	3665587	3671384	-
ENSG00000110713.18	NUP98	3671083	3797792	-
ENSG00000148985.20	PGAP2	3797724	3826371	+
ENSG00000177105.10	RHOG	3826978	3840959	-
ENSG00000167323.13	STIM1	3854527	4093210	+
ENSG00000167325.15	RRM1	4094707	4138932	+
ENSG00000284018.2	SSU72L5	4233217	4234287	+
ENSG00000284306.2	SSU72L2	4241641	4242706	-
ENSG00000283873.2	SSU72L4	4287084	4288185	-
ENSG00000284546.2	SSU72L3	4329790	4330864	+
ENSG00000284438.2	SSU72L1	4338245	4339345	-
ENSG00000221996.6	OR52B4	4367263	4368386	-
