gene_id	gene_name	start	end	strand
ENSG00000178591.7	DEFB125	87250	97094	+
ENSG00000125788.6	DEFB126	142590	145751	+
ENSG00000088782.5	DEFB127	157454	159163	+
ENSG00000185982.7	DEFB128	187853	189711	-
ENSG00000125903.4	DEFB129	227258	229886	+
ENSG00000186458.5	DEFB132	257724	261096	+
ENSG00000196476.12	C20orf96	270863	290778	-
ENSG00000247315.4	ZCCHC3	297570	300321	+
ENSG00000177732.9	SOX12	325552	330224	+
ENSG00000125841.14	NRSN2	346782	359660	+
ENSG00000101255.13	TRIB3	362835	397559	+
ENSG00000125826.22	RBCK1	407498	432139	+
ENSG00000125875.15	TBC1D20	423596	462566	-
ENSG00000101266.19	CSNK2A1	472498	543835	-
ENSG00000125878.7	TCF15	604257	610309	-
ENSG00000271303.2	SRXN1	646615	653200	-
ENSG00000270299.1	ENSG00000270299	646626	675800	-
ENSG00000215397.4	SCRT2	661596	675802	-
ENSG00000101276.18	SLC52A3	760080	776015	-
ENSG00000125898.13	FAM110A	833715	857463	+
ENSG00000101280.8	ANGPT4	869900	916334	-
ENSG00000101282.9	RSPO4	958452	1002311	-
ENSG00000125818.18	PSMF1	1113240	1189415	+
ENSG00000125895.6	TMEM74B	1180561	1185415	-
ENSG00000215595.3	C20orf202	1203454	1209076	+
ENSG00000244588.6	RAD21L1	1226044	1296421	+
ENSG00000101298.15	SNPH	1266280	1309328	+
ENSG00000125775.15	SDCBP2	1309909	1329139	-
ENSG00000274322.1	ENSG00000274322	1317571	1393096	-
ENSG00000088832.18	FKBP1A	1368977	1393164	-
ENSG00000088833.18	NSFL1C	1442162	1473842	-
ENSG00000196209.13	SIRPB2	1470741	1491587	-
ENSG00000125900.13	SIRPD	1534251	1557705	-
ENSG00000260861.6	ENSG00000260861	1540144	1620009	-
ENSG00000101307.16	SIRPB1	1561385	1620061	-
ENSG00000089012.14	SIRPG	1629152	1657779	-
ENSG00000198053.12	SIRPA	1894167	1940592	+
ENSG00000101327.9	PDYN	1978757	1994285	-
ENSG00000125834.13	STK35	2101827	2177038	+
ENSG00000286022.1	ENSG00000286022	2207328	2341059	+
