gene_id	gene_name	start	end	strand
ENSG00000177706.9	FAM20C	192571	260772	+
ENSG00000248767.2	FOXL3	290170	294422	+
ENSG00000197461.13	PDGFA	497258	520296	-
ENSG00000188191.16	PRKAR1B	549197	727650	-
ENSG00000164818.16	DNAAF5	726699	786475	+
ENSG00000164828.18	SUN1	816615	896435	+
ENSG00000239857.7	GET4	876554	896436	+
ENSG00000105963.15	ADAP1	897900	955407	-
ENSG00000240230.6	COX19	898778	975549	-
ENSG00000073067.14	CYP2W1	983181	989640	+
ENSG00000146540.15	C7orf50	996986	1138260	-
ENSG00000164849.10	GPR146	1044546	1059261	+
ENSG00000164850.16	GPER1	1082208	1093815	+
ENSG00000178381.12	ZFAND2A	1152071	1160759	-
ENSG00000164853.9	UNCX	1232872	1237326	+
ENSG00000164877.19	MICALL2	1428465	1459470	-
ENSG00000164880.16	INTS1	1470277	1504389	-
ENSG00000198517.10	MAFK	1530702	1543043	+
ENSG00000164855.16	TMEM184A	1542235	1560821	-
ENSG00000157778.9	PSMG3	1567332	1571005	-
ENSG00000225968.8	ELFN1	1665745	1747946	+
ENSG00000002822.16	MAD1L1	1815793	2233243	-
ENSG00000286192.1	ENSG00000286192	1815804	2242215	-
ENSG00000122687.19	MRM2	2234195	2242205	-
ENSG00000106268.16	NUDT1	2242226	2251146	+
ENSG00000106266.11	SNX8	2251770	2354318	-
ENSG00000106263.19	EIF3B	2354086	2380745	+
ENSG00000136213.10	CHST12	2403588	2448484	+
ENSG00000275572.2	GRIFIN	2474728	2476894	-
ENSG00000106003.14	LFNG	2512529	2529177	+
ENSG00000106009.16	BRAT1	2537810	2555694	-
ENSG00000106012.19	IQCE	2558972	2614733	+
ENSG00000136295.16	TTYH3	2631961	2664802	+
ENSG00000174945.14	AMZ1	2679522	2775500	+
ENSG00000146535.15	GNA12	2721822	2870786	-
ENSG00000198286.11	CARD11	2906142	3044228	-
ENSG00000146555.20	SDK1	3301252	4269000	+
ENSG00000164916.11	FOXK1	4682295	4771442	+
ENSG00000242802.9	AP5Z1	4775615	4794397	+
ENSG00000157927.17	RADIL	4797055	4883716	-
ENSG00000218823.2	PAPOLB	4857738	4862030	-
ENSG00000136297.15	MMD2	4905989	4959213	-
ENSG00000272968.5	RBAK-RBAKDN	4983718	5073221	+
ENSG00000146587.18	RBAK	5045821	5069487	+
ENSG00000157954.15	WIPI2	5190196	5233840	+
ENSG00000164638.11	SLC29A4	5274369	5306912	+
ENSG00000182095.15	TNRC18	5306790	5425414	-
ENSG00000155034.21	FBXL18	5431335	5513809	-
ENSG00000075624.17	ACTB	5526409	5563902	-
ENSG00000075618.18	FSCN1	5592816	5606655	+
ENSG00000011275.19	RNF216	5620047	5781696	-
ENSG00000122543.11	OCM	5879827	5886363	+
ENSG00000122674.12	CCZ1	5898725	5926550	+
ENSG00000155026.17	RSPH10B	5925550	5970689	-
ENSG00000122512.17	PMS2	5970925	6009130	-
ENSG00000106305.10	AIMP2	6009255	6023834	+
ENSG00000086232.13	EIF2AK1	6022247	6059175	-
ENSG00000157999.6	ANKRD61	6031376	6036552	+
ENSG00000106346.12	USP42	6104949	6161564	+
ENSG00000008256.17	CYTH3	6161779	6272644	-
ENSG00000286075.3	SAGSIN1	6329411	6348967	-
ENSG00000178397.13	FAM220A	6329411	6348981	-
ENSG00000136238.20	RAC1	6374527	6403967	+
ENSG00000164535.15	DAGLB	6409126	6484190	-
ENSG00000136240.10	KDELR2	6445953	6484190	-
ENSG00000215045.9	GRID2IP	6496778	6551461	-
ENSG00000136247.15	ZDHHC4	6577434	6589374	+
ENSG00000146576.13	INTS15	6590021	6608726	+
ENSG00000236609.4	ZNF853	6615610	6624290	+
ENSG00000205903.7	ZNF316	6637318	6658279	+
ENSG00000164631.19	ZNF12	6688433	6706947	-
ENSG00000169402.16	RSPH10B2	6754103	6799365	+
ENSG00000146574.16	CCZ1B	6794134	6826770	-
ENSG00000106392.11	C1GALT1	7156934	7248616	+
ENSG00000215018.10	COL28A1	7356203	7535873	-
ENSG00000164654.16	MIOS	7566875	7608932	+
ENSG00000106399.11	RPA3	7636518	7718607	-
ENSG00000219545.12	UMAD1	7640711	7968020	+
ENSG00000106415.13	GLCCI1	7968796	8094272	+
ENSG00000003147.19	ICA1	8113184	8262687	-
ENSG00000122584.13	NXPH1	8433609	8752961	+
ENSG00000189043.10	NDUFA4	10931943	10940153	-
ENSG00000106443.17	PHF14	10973336	11169623	+
ENSG00000005108.17	THSD7A	11370365	11832198	-
ENSG00000106460.20	TMEM106B	12211270	12243367	+
ENSG00000146530.15	VWDE	12330885	12403941	-
ENSG00000226690.9	ENSG00000226690	12469621	12542222	+
ENSG00000006747.15	SCIN	12570577	12660182	+
ENSG00000122644.13	ARL4A	12686856	12690958	+
ENSG00000006468.15	ETV1	13891229	13991425	-
ENSG00000136267.14	DGKB	14145049	14974777	-
ENSG00000187546.14	AGMO	15200317	15562015	-
ENSG00000106511.6	MEOX2	15611212	15686683	-
ENSG00000214960.11	CRPPA	16087525	16502504	-
ENSG00000171243.8	SOSTDC1	16461481	16530580	-
ENSG00000205858.10	LRRC72	16526825	16581568	+
ENSG00000106524.9	ANKMY2	16599779	16645817	-
ENSG00000136261.16	BZW2	16646131	16706523	+
ENSG00000106537.8	TSPAN13	16753755	16784536	+
ENSG00000106541.12	AGR2	16791811	16833433	-
ENSG00000173467.9	AGR3	16859412	16881987	-
ENSG00000106546.14	AHR	16916359	17346152	+
ENSG00000283321.1	ENSG00000283321	17299295	17467234	+
ENSG00000071189.21	SNX13	17790761	17940501	-
ENSG00000229937.9	PRPS1L1	18026770	18027846	-
ENSG00000048052.25	HDAC9	18086949	19002416	+
