gene_id,gene_name,chr,start,end,min_rank,min_pop,max_rank,rank_range
ENSG00000284209.3,CCNYL1B,16,34351499,34381110,5.275374551593163e-05,GWD,0.00026473235558850005,0.00021197861007256843
ENSG00000015568.13,RGPD5,2,109792758,109857705,5.278158978148422e-05,ESN,0.00015885623510722796,0.00010607464532574374
ENSG00000276581.3,SPATA31A5,9,60914407,60920653,5.2946471117700005e-05,PEL,0.0003696076878399071,0.0003166612167222071
ENSG00000197888.3,UGT2B17,4,68537173,68576413,0.00010556317956296844,ESN,0.0005808120808912825,0.00047524890132831407
ENSG00000256977.13,LIMS3,2,109898428,109925625,0.00010592098294672174,TSI,0.00034317089910775565,0.0002372499161610339
ENSG00000205670.12,SMIM11,21,34375480,34416961,0.00015826958586125033,ACB,0.0004762660739799968,0.00031799648811874645
ENSG00000284337.1,ENSG00000284337,2,109898432,109968557,0.00015888147442008263,TSI,0.00034317089910775565,0.00018428942468767302
ENSG00000160221.18,GATD3,21,44133610,44210114,0.00026508323613614677,GBR,0.0005807507523362019,0.00031566751620005514
ENSG00000166351.11,POTED,21,13609777,13645823,0.0003169404680154244,CLM,0.0006903143585386576,0.00037337389052323315
ENSG00000286106.3,NOTCH2NLR,1,120723912,120794851,0.00031730921783277807,IBS,0.0007385914006858349,0.00042128218285305684
ENSG00000241945.8,PWP2,21,44107373,44131181,0.0003694711284703895,LWK,0.0004752098843655948,0.00010573875589520528
ENSG00000273136.9,NBPF26,1,120723945,120842229,0.0003701940874715744,IBS,0.001642993428026288,0.0012727993405547136
ENSG00000256671.7,LIMS4,2,110445883,110473075,0.0003706645485835319,CHS,0.0012139124927429145,0.0008432479441593827
ENSG00000172058.16,SERF1A,5,70900669,70918530,0.000370998516005936,KHV,0.002639776146982736,0.0022687776309768
ENSG00000174876.17,AMY1B,1,103687415,103696454,0.00042357176894160004,PEL,0.0006343165239454488,0.00021074475500384873
ENSG00000187733.7,AMY1C,1,103745323,103758726,0.00047651824005930007,PEL,0.0012180913038873,0.0007415730638279999
ENSG00000135226.18,UGT2B28,4,69280475,69295050,0.0005278158978148422,ESN,0.0015405864853378665,0.0010127705875230242
ENSG00000181903.7,OR4C6,11,55662201,55666195,0.0005278158978148422,LWK,0.0018533227429176596,0.0013255068451028173
