key,YRI,LWK,GWD,MSL,ESN,ACB,ASW,CEU,TSI,FIN,GBR,IBS,GIH,PJL,BEB,STU,ITU,CHB,JPT,CHS,CDX,KHV,MXL,PUR,CLM,PEL
rs62092498,0.8349099999999999,1.0309499999999998,0.8897200000000001,0.94279,0.75951,0.78068,,,0.6287200000000001,,,,,0.60175,0.63394,,0.68063,0.63916,0.67686,0.57478,0.62176,,,,0.6725099999999999,
rs77951681,3.98866,5.050350000000001,3.99649,4.363049999999999,3.6395,3.3045500000000003,3.5913600000000003,1.75537,2.1068500000000006,2.23213,2.2089299999999996,1.7756699999999999,2.28346,1.8154000000000001,1.86557,1.98273,2.3084,2.36031,2.3548,1.93024,2.07698,1.9047200000000002,2.35799,2.55113,2.2849100000000004,2.21676
rs150087472,2.54156,2.73296,2.50908,2.81155,2.68743,2.64973,2.9011600000000004,3.60325,3.8709199999999995,3.9205099999999997,3.7265,3.40489,3.46927,3.33442,2.9603200000000003,3.36342,3.48029,3.27062,3.38256,3.0032400000000004,3.21465,2.9353800000000003,3.335,3.3938699999999997,3.35733,3.3698
rs1942055,244.40040000000002,254.99294,244.83801,267.65057,270.72544,249.03923999999998,201.88756,8.28472,100.99134,14.35819,9.57493,30.10287,120.16875,104.01053,126.06561,137.65633000000003,141.33005,55.00691,78.61465,77.67504999999998,95.90996,82.01229000000001,55.21948,81.21044,65.75895000000001,109.95785000000001
rs558669065,14.326289999999998,15.566619999999999,16.05875,15.86677,15.10842,13.982349999999999,13.21559,9.340900000000001,10.859630000000001,9.59784,8.65157,9.49025,9.18952,9.5294,9.50214,9.463859999999999,9.438630000000002,12.38068,12.076469999999999,11.70991,12.3743,11.962789999999998,11.414400000000002,10.745659999999999,11.43528,12.9427
rs11870626,31.06625,35.87735000000001,25.65659,35.58155,33.31636,33.902449999999995,31.977140000000002,21.97098,28.91068,19.633290000000002,21.986060000000002,25.83407,17.371869999999998,17.12334,21.69084,9.78344,9.91307,39.75175,32.90079,40.263310000000004,42.052899999999994,40.24764999999999,39.690850000000005,32.03253,27.0396,36.45996
rs2516747,78.75356,123.55681999999999,76.65367,96.28464,91.7705,89.94234,90.34109,14.837849999999998,36.028729999999996,40.94916,32.410979999999995,28.506130000000002,43.121550000000006,37.815709999999996,27.40268,46.185399999999994,44.428580000000004,38.310739999999996,30.35749,27.795920000000002,34.535810000000005,39.968669999999996,37.33924,39.44493,37.691590000000005,23.77188
rs143586350,160.16729,195.64270000000002,145.35148,161.20607,156.53098,145.29434999999998,154.37918,40.21488,43.85177,40.17863,40.02783,49.24026,51.77631,48.13623,46.055189999999996,71.34058,59.11273,15.818340000000001,18.89698,15.77513,19.156239999999997,21.180439999999997,41.85947,73.45352,67.54129,27.6341
rs10170556,323.38741000000005,336.75728,304.02585,326.6821,343.76571,319.59769,296.50180000000006,17.15031,156.76675,41.560770000000005,23.45027,58.350899999999996,150.75766000000002,135.9375,164.87775999999997,161.84349000000003,154.06134,99.86787999999999,112.74417,119.06936,145.44457,134.39818,96.76545999999999,115.13725,101.78941999999999,146.60921
rs11604662,163.53912,165.18545,160.5933,162.41421,164.61559999999997,153.99174000000002,155.13231,31.54968,26.6481,38.03872,29.56463,26.14002,19.370260000000002,23.98706,22.079439999999998,23.22639,22.6838,57.11086,57.143629999999995,83.69516,64.90316,62.469770000000004,77.08577000000001,64.31272,65.27813,72.4681
rs11715496,134.5223,127.89899000000001,131.31025999999997,131.04752,138.98684999999998,114.35541,94.32104999999999,34.409949999999995,38.90669,40.296949999999995,33.764120000000005,39.99593,19.434060000000002,28.11492,26.2305,21.75551,26.2218,39.01312,37.582550000000005,35.637229999999995,38.610600000000005,50.136939999999996,26.511219999999998,48.07649,35.40291,25.653689999999997
rs12329128,88.74261,82.40785000000001,90.76304,91.00837999999999,85.78084,79.22104,83.23464,36.52521,46.029379999999996,24.18716,39.65692,40.1215,36.08731,23.47289,42.679590000000005,27.490260000000003,28.082150000000002,60.03986,57.23121,49.58710000000001,68.48639999999999,66.66897,47.36454,48.70492,57.508739999999996,40.98425
16:67381383,201.8748,198.66101999999998,187.56591,227.05202,194.04450999999997,191.98029,186.17565000000002,43.76564,42.378569999999996,53.71931000000001,40.91697,48.4851,67.92235000000001,69.99875,64.5453,104.27994,74.23217,26.185260000000003,23.87802,24.95943,31.14368,31.7492,40.29637,60.736149999999995,57.27616,28.044449999999998
rs55885404,120.90564,125.63989,114.41863,110.41837000000001,106.89835000000001,113.69044,130.56206,28.94374,24.55894,34.7072,30.1136,27.11906,176.71759,188.85234999999997,200.07825,205.70425,218.74468,168.58975999999998,114.31220000000002,162.20193,177.31847,174.11687,111.82342,65.68674,80.70062000000001,137.16100999999998
rs148178519,300.07923999999997,319.66439,314.38435999999996,310.40266,240.23107000000002,283.82039000000003,300.61371,248.28088999999997,242.80482,176.80923,249.62475,248.22317999999999,141.62991,165.53750999999997,129.93131000000002,120.51529999999998,82.28604999999999,25.13459,26.49034,29.769949999999998,30.51728,31.07147,167.13338000000002,207.00229000000002,226.02252,133.51745000000003
rs35741556,334.59184999999997,330.61856,323.9793,317.76691999999997,331.48942999999997,346.20171000000005,340.06473000000005,99.71041000000001,84.32997,70.68779,86.21642,92.32295,52.892810000000004,104.0375,79.84019,83.81609,79.47189,25.77085,36.14792,34.003080000000004,29.924229999999994,37.52774,58.266510000000004,149.1905,91.09219,54.43909000000001
rs759246432,183.61640000000003,203.41267,225.24329,214.00318,210.10674000000003,215.43491,225.28882000000002,212.44994,208.25827999999998,206.97966999999997,221.96513000000002,164.64895,188.56409,151.13089,144.83383,154.89654000000002,180.45453,33.407129999999995,28.126810000000003,41.50625,41.394310000000004,44.35405,162.36781,184.65344,156.53533000000002,85.42008
rs653178,260.04764,268.63715,278.2666,263.82894999999996,241.76691000000002,259.48736,253.04994,62.99409000000001,28.88777,47.339600000000004,45.78056000000001,48.289060000000006,100.22748,107.52127,132.95775,144.00849000000002,148.4046,157.47319,145.63423,124.73886,148.58526999999998,164.03734,140.87881,91.94681999999999,109.56983,74.91454
rs117976941,242.69143,298.31981,263.05958000000004,269.18815,255.94066000000004,278.00269999999995,270.75241000000005,54.6998,63.4404,51.10206,74.09152,58.56956,60.51314,57.60241,53.57083,80.86186000000001,48.338939999999994,29.97672,47.13892,29.098599999999998,42.09843,31.656399999999998,69.73543000000001,97.19495,68.64068,57.33677
rs386457469,431.16272000000004,431.10877999999997,434.45741000000004,453.73632000000003,460.2909,408.96206,382.46331,51.37379,56.76199,58.36337,52.57845,54.678050000000006,97.26977000000001,104.32866,78.44006999999999,89.20574,103.7475,123.48693,92.81855999999999,103.83885000000001,86.32459,107.06770999999999,51.814879999999995,104.31793,60.4737,30.519890000000004
rs6906237,374.45002999999997,383.27212,366.41181,373.71603999999996,366.57102,369.49334999999996,326.7749,47.108470000000004,57.60183,31.43571,43.55916,75.97594000000001,52.70402000000001,67.66976,80.49645999999998,78.95105,62.81632,111.11234,95.98043000000001,89.22836,107.77734,111.41422999999999,50.449560000000005,108.07227,59.24062,64.612
rs2196521,408.87013,424.04177,369.54932,390.56359,375.05468,432.1,296.71698000000004,95.19539999999999,81.90731,83.51826,98.56723,87.2755,108.69547999999999,109.68844,165.87768,133.77149000000003,186.79828,45.99864,61.66414999999999,101.72011,88.95373,106.01704000000001,70.91805,84.27835,87.97904000000001,33.728449999999995
rs4586234,162.66854,180.55458000000002,177.49798,173.02531,178.23342,175.46943,149.58025999999998,82.86112000000001,93.74220999999999,97.70361,98.36336,98.77748,77.87225,72.07195999999999,78.32639,89.64393000000001,80.90187999999999,38.17966,46.147409999999994,33.87664,53.94812,40.579699999999995,96.82723,90.06878,82.18222999999999,57.47974
12:111187964,340.57077999999996,297.3254,304.55017,295.36123000000003,329.45566,315.08355000000006,265.64783,61.16941,54.68762,64.15786,52.20029,55.96507,115.31792,144.90923,135.70579,136.73934999999997,137.20770000000002,137.29847,129.21791000000002,126.46349000000001,151.08449000000002,143.29799000000003,84.98188999999999,83.07687999999999,66.35142,35.33998
rs117999269,200.40218,221.91931,163.33322,281.86347,162.10941999999997,172.85826999999998,175.76059,68.91356999999999,95.95462,83.76302,67.00189,98.64669,89.32956999999999,123.41153,90.39213,140.23733000000001,107.56737999999999,39.35387,49.74863,42.92754,39.95214,35.44873,86.80395999999999,115.36112999999999,139.26815000000002,52.89426
rs13097248,120.43961,112.51507,113.86908,125.26347,136.8481,117.218,105.47995999999999,83.95645000000002,81.22407,92.07006999999999,95.89981,76.31553,93.19787999999998,91.72874,84.45670000000001,92.54277,79.18421,37.51527,36.68732,40.733979999999995,35.492810000000006,37.7261,87.93844,59.88906,66.40420000000002,78.13963
rs174576,233.61849,262.53207000000003,221.08788,256.48876,206.93645999999998,237.50391,241.14979,72.3927,80.86070000000001,73.69509,75.08042,75.14972999999999,63.37051,74.14459,70.19189,71.49109,65.047,40.96424,35.891560000000005,45.21825,54.12096,47.81839,69.84041,100.83995999999999,91.52458,60.125989999999994
rs1379553,344.77491000000003,286.65137,360.35893,343.84488,320.48364000000004,281.19241000000005,267.73496,36.677459999999996,37.56602,39.84687,36.92512,40.13658,61.216680000000004,83.781,97.15928,69.92537999999999,65.22129000000001,104.23267,117.64952000000001,138.57766,128.88586,123.20476,89.02623,67.2365,68.78307,78.50561
rs11921171,134.56116,155.19959,125.77995999999999,122.84254999999999,124.42595000000001,131.81225,142.07999,45.11617,51.87433,39.841939999999994,49.92002,45.45779,45.03091,58.41296,51.716860000000004,60.35045,49.04219,56.942080000000004,48.329370000000004,70.06835000000001,56.21997999999999,55.40363,43.73026,60.80111,47.35149,38.06859
rs1265775,218.45265000000003,242.30283000000003,234.0097,211.49091,249.02648000000002,229.89431,192.74995,95.59212000000001,110.16287999999999,93.55661,110.21102,120.11829,77.32502000000001,79.7935,85.16111,100.51979999999999,94.7024,39.77785000000001,41.68547,38.25825,59.161739999999995,39.71492,93.15786,101.93761,91.42685,50.51771
rs71445564,244.76899,281.43862,262.79655,238.48758999999995,242.50206,245.62158999999997,229.28328,80.11887999999999,38.46067,66.39695000000002,57.89299,56.93222,122.59315000000001,142.16466999999997,161.20404000000002,160.67247,178.85286000000002,128.00948,125.95743999999999,101.08762000000002,148.05225,150.94819,156.71136,108.19523,120.06348,87.30653
rs62259945,254.59129000000001,256.43163,283.54518,278.83529,271.94344,281.52939000000003,272.51764000000003,232.22881,252.44877,239.28480000000002,231.35794,250.20765000000003,111.02041,127.46166999999998,127.16761,97.49191,120.66378,49.52997,58.02262,38.91191,43.067029999999995,49.40846,119.24974,249.66071,186.43665000000001,70.32383999999999
rs62262471,99.41606,132.62366999999998,128.73622,125.53926,107.32087999999999,120.37175,105.03162,121.14343999999998,120.05739,110.07878,102.77280999999999,119.78508000000002,45.985879999999995,60.12425,61.048190000000005,47.172270000000005,57.51164,48.008340000000004,51.52749,42.532560000000004,39.51337,43.77869,62.87374,108.92689999999999,96.70514,55.16089999999999
rs68163138,257.38312,280.37838,214.61536999999998,281.89682,282.05893,268.50375,249.58762999999996,42.93073,40.291149999999995,50.12534,44.68175,45.44097,48.073010000000004,55.27864,71.73787999999999,61.621520000000004,67.53491,123.24739,88.34734,83.95152,113.63447000000001,132.68717999999998,45.784330000000004,63.63818,67.4018,43.35906000000001
rs143060887,327.25137,361.89244999999994,343.24226,361.69815,315.20796,309.20119,324.60483,40.403090000000006,43.09951,44.82327,44.35782,43.32136,42.04188,52.870189999999994,42.05725,48.83281,50.5325,51.22386,87.55245000000001,69.82417,78.70020000000001,62.04520999999999,53.98872,63.653549999999996,57.68593,53.92144
rs6505173,114.27392,121.33309999999999,121.4665,119.21522999999999,114.41689,112.50927,128.22843,65.43328000000001,71.78022,65.9373,57.159870000000005,55.00604,73.25806,87.18212000000001,79.69403,73.44917,61.831770000000006,91.56083,86.26572,91.59737000000001,40.53214,61.679520000000004,71.81821,73.71481,83.45329999999998,62.309979999999996
rs17286262,217.42663000000002,260.55804,241.4018,265.60114,214.89087,213.01341,237.20376,127.37031999999999,145.59304999999998,122.57893999999999,157.02224,149.80124,146.0962,159.08095,143.18721,156.45877,146.06111,56.396300000000004,69.25954,58.35351,74.53522,40.67917,132.65383000000003,140.82138999999998,149.04869,125.00247
rs562134801,237.82842,243.11541000000003,270.36844999999994,240.92736000000002,238.62157000000002,238.18715000000003,264.15462,219.13763,214.20966,195.41273,224.43592999999998,204.25106,107.78139999999999,78.59783,100.08016,83.04701,88.80032,49.70774,73.25893,41.14578,50.43506000000001,50.50959,97.92081999999999,186.78378,171.20469,84.56951
rs62239982,222.77336000000003,135.43434999999997,195.37938,174.32190000000003,193.73247,195.51278,194.61784,78.50677,88.7139,72.03571,66.99551,84.60228,115.71609,97.4371,94.47359,102.99785,97.56702,53.066810000000004,42.46499,59.8937,42.65871,50.83729,60.23387,86.97331999999999,66.46017,58.54607
rs10171471,284.60194,270.49808,282.49132000000003,310.59638,263.18427999999994,276.49383,289.50178,52.7365,57.52498,43.05427,43.08414,71.49862999999999,55.907939999999996,55.94564,73.49963,52.888169999999995,53.16047999999999,98.36858000000001,76.54985,88.03356,121.71822,127.51387,77.12375999999999,88.4819,75.16249,58.93322
rs1924470,214.09076,253.33994,207.22298,238.73959999999997,206.00961999999998,211.07186000000002,196.63276,90.24046,98.83577000000001,122.95159,97.73174,87.51968000000001,61.357330000000005,74.18577,58.529540000000004,77.22004000000001,66.73537999999999,214.40888999999999,203.41644,235.01252,266.37834,242.63865,65.60409,97.04008999999999,94.48722000000001,43.34427
rs1500004,184.25816999999998,321.06132,212.75066999999999,224.93531,160.29720999999998,178.86736000000002,221.59364,142.13161000000002,117.682,170.13226999999998,148.44259,132.42704999999998,194.068,210.38833000000002,174.13137,194.29507,211.59067,70.37720000000002,69.73891,56.563340000000004,44.48803,44.80732,87.68904,139.88440000000003,118.36988,85.38673
12:113357193,133.76220999999998,175.52134,196.79197,182.32416,158.73933000000002,152.91265,129.75644,88.06864999999999,104.34519,114.60481,96.83941,88.46421,109.63304999999998,125.02799,112.76997999999999,126.52265000000001,117.92647,118.27795000000002,142.17075999999997,114.85102,124.67708999999999,105.32278,91.24937000000001,97.94025,89.21444,45.05411
rs66890203,218.89403,214.88913,254.33087000000003,201.58625,257.48752,205.13672,200.51991999999998,142.90707,135.18059999999997,123.78244,147.4505,148.67400999999998,157.42795,153.76844,134.68266999999997,147.95394,123.31554000000001,49.816199999999995,45.66079,60.494,86.52817,66.98275,104.71668000000001,119.31006000000001,102.08551,63.91745
rs35608744,240.23397,258.83601999999996,220.05577,219.24290000000002,219.60656,223.3841,227.93565,124.01791999999999,140.12104000000002,75.35012,114.75213,119.14475999999999,84.54689,46.32344,94.42458,61.2103,65.83754,123.72270000000002,122.46903,97.58964,125.88493999999999,139.35979,115.93127,134.30422000000002,159.33644,71.17730999999999
