gene_id,gene_name,chr,start,end,min_rank,min_pop,max_rank,rank_range,is_sd
ENSG00000284209.3,CCNYL1B,16,34351499,34381110,5.275374551593163e-05,GWD,0.0002647323555885,0.0002119786100725,True
ENSG00000015568.13,RGPD5,2,109792758,109857705,5.278158978148422e-05,ESN,0.0001588562351072,0.0001060746453257,True
ENSG00000276581.3,SPATA31A5,9,60914407,60920653,5.2946471117700005e-05,PEL,0.0003696076878399,0.0003166612167222,True
ENSG00000197888.3,UGT2B17,4,68537173,68576413,0.0001055631795629,ESN,0.0005808120808912,0.0004752489013283,True
ENSG00000256977.13,LIMS3,2,109898428,109925625,0.0001059209829467,TSI,0.0003431708991077,0.000237249916161,True
ENSG00000205670.12,SMIM11,21,34375480,34416961,0.0001582695858612,ACB,0.0004762660739799,0.0003179964881187,True
ENSG00000284337.1,ENSG00000284337,2,109898432,109968557,0.00015888147442,TSI,0.0003431708991077,0.0001842894246876,True
ENSG00000160221.18,GATD3,21,44133610,44210114,0.0002650832361361,GBR,0.0005807507523362,0.0003156675162,True
ENSG00000166351.11,POTED,21,13609777,13645823,0.0003169404680154,CLM,0.0006903143585386,0.0003733738905232,True
ENSG00000286106.3,NOTCH2NLR,1,120723912,120794851,0.0003173092178327,IBS,0.0007385914006858,0.000421282182853,True
ENSG00000241945.8,PWP2,21,44107373,44131181,0.0003694711284703,LWK,0.0004752098843655,0.0001057387558952,True
ENSG00000273136.9,NBPF26,1,120723945,120842229,0.0003701940874715,IBS,0.0016429934280262,0.0012727993405547,True
ENSG00000256671.7,LIMS4,2,110445883,110473075,0.0003706645485835,CHS,0.0012139124927429,0.0008432479441593,True
ENSG00000172058.16,SERF1A,5,70900669,70918530,0.0003709985160059,KHV,0.0026397761469827,0.0022687776309768,True
ENSG00000174876.17,AMY1B,1,103687415,103696454,0.0004235717689416,PEL,0.0006343165239454,0.0002107447550038,True
ENSG00000187733.7,AMY1C,1,103745323,103758726,0.0004765182400593,PEL,0.0012180913038873,0.0007415730638279,True
ENSG00000135226.18,UGT2B28,4,69280475,69295050,0.0005278158978148,ESN,0.0015405864853378,0.001012770587523,True
ENSG00000181903.7,OR4C6,11,55662201,55666195,0.0005278158978148,LWK,0.0018533227429176,0.0013255068451028,False
ENSG00000160200.18,CBS,21,43053191,43076943,0.000529464711177,PEL,0.002111152161292,0.001581687450115,True
ENSG00000215343.8,ZNF705D,8,12089338,12115516,0.0005299978800084,KHV,0.002638940201615,0.0021089423216065,True
ENSG00000189152.12,GRAPL,17,19127535,19162274,0.0005301664722722,GBR,0.0026499894000424,0.0021198229277701,True
